,Unnamed: 0,id,title,tags
0,0,19995,Avatar,"action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d jakesulli neytiri dr.graceaugustin col.quaritch trudychacon jamescameron in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization. en"
1,1,285,Pirates of the Caribbean: At World's End,"adventur fantasi action ocean drugabu exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditsst captainjacksparrow willturn elizabethswann william""bootstrapbill""turn captainsaofeng goreverbinski captain barbossa, long believ to be dead, ha come back to life and is head to the edg of the earth with will turner and elizabeth swann. but noth is quit as it seems. en"
2,2,206647,Spectre,"action adventur crime spi basedonnovel secretag sequel mi6 britishsecretserv unitedkingdom jamesbond blofeld madelein m lucia sammend a cryptic messag from bond’ past send him on a trail to uncov a sinist organization. while m battl polit forc to keep the secret servic alive, bond peel back the layer of deceit to reveal the terribl truth behind spectre. en"
3,3,49026,The Dark Knight Rises,"action crime drama thriller dccomic crimefight terrorist secretid burglar hostagedrama timebomb gothamc vigil cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman brucewayne/batman alfredpennyworth jamesgordon selinakyle/catwoman bane christophernolan follow the death of district attorney harvey dent, batman assum respon for dent' crime to protect the late attorney' reput and is subsequ hunt by the gotham citi polic department. eight year later, batman encount the mysteri selina kyle and the villain bane, a new terrorist leader who overwhelm gotham' finest. the dark knight resurfac to protect a citi that ha brand him an enemy. en"
4,4,49529,John Carter,"action adventur sciencefict basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d johncart dejahthori sola tarstarka talhaju andrewstanton john carter is a war-weary, former militari captain who' inexpl transport to the mysteri and exot planet of barsoom (mars) and reluctantli becom embroil in an epic conflict. it' a world on the brink of collapse, and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands. en"
5,5,559,Spider-Man 3,"fantasi action adventur dualid amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng peterparker/spider-man maryjanewatson harryosborn/newgoblin flintmarko/sandman eddiebrock/venom samraimi the seemingli invinc spider-man goe up against an all-new crop of villain – includ the shape-shift sandman. while spider-man’ superpow are alter by an alien organism, hi alter ego, peter parker, deal with nemesi eddi brock and also get caught up in a love triangle. en"
6,6,38757,Tangled,"anim famili hostag magic hor fairyt music princess anim tower blondewoman selfish healingpow basedonfairyt duringcreditsst healinggift animalsidekick flynnrider(voice) rapunzel(voice) mothergothel(voice) stabbingtonbrother(voice) captainoftheguard(voice) byronhoward nathangreno when the kingdom' most wanted-and most charming-bandit flynn rider hide out in a mysteri tower, he' taken hostag by rapunzel, a beauti and feisti tower-bound teen with 70 feet of magical, golden hair. flynn' curiou captor, who' look for her ticket out of the tower where she' been lock away for years, strike a deal with the handsom thief and the unlik duo set off on an action-pack escapade, complet with a super-cop horse, an over-protect chameleon and a gruff gang of pub thugs. en"
7,7,99861,Avengers: Age of Ultron,"action adventur sciencefict marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditsst marvelcinematicuniv 3d tonystark/ironman thorodinson brucebanner/hulk steverogers/captainamerica natasharomanoff/blackwidow josswhedon when toni stark tri to jumpstart a dormant peacekeep program, thing go awri and earth’ mightiest hero are put to the ultim test as the fate of the planet hang in the balance. as the villain ultron emerges, it is up to the aveng to stop him from enact hi terribl plans, and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure. en"
8,8,767,Harry Potter and the Half-Blood Prince,"adventur fantasi famili witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf harrypott ronweasley hermionegrang dracomalfoy albusdumbledor davidi as harri begin hi sixth year at hogwarts, he discov an old book mark as 'properti of the half-blood prince', and begin to learn more about lord voldemort' dark past. en"
9,9,209112,Batman v Superman: Dawn of Justice,"action adventur fantasi dccomic vigil superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendeduniv brucewayne/batman clarkkent/superman dianaprince/wonderwoman loislan lexluthor zacksnyd fear the action of a god-lik super hero left unchecked, gotham city’ own formidable, forc vigil take on metropolis’ most revered, modern-day savior, while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one another, a new threat quickli arises, put mankind in greater danger than it’ ever known before. en"
10,10,1452,Superman Returns,"adventur fantasi action sciencefict savingtheworld dccomic invuln sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor superman/clarkk lexluthor loislan richardwhit kittykowalski bryans superman return to discov hi 5-year absenc ha allow lex luthor to walk free, and that those he wa closest too felt abandon and have move on. luthor plot hi ultim reveng that could see million kill and chang the face of the planet forever, as well as rid himself of the man of steel. en"
11,11,10764,Quantum of Solace,"adventur action thriller crime kill undercov secretag britishsecretserv jamesbond camillemont dominicgreen m renémathi marcforst quantum of solac continu the adventur of jame bond after casino royale. betray by vesper, the woman he loved, 007 fight the urg to make hi latest mission personal. pursu hi determin to uncov the truth, bond and m interrog mr. white, who reveal that the organ that blackmail vesper is far more complex and danger than anyon had imagined. en"
12,12,58,Pirates of the Caribbean: Dead Man's Chest,"adventur fantasi action witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditsst captainjacksparrow willturn elizabethswann william""bootstrapbill""turn captaindavyjon goreverbinski captain jack sparrow work hi way out of a blood debt with the ghostli davey jones, he also attempt to avoid etern damnation. en"
13,13,57201,The Lone Ranger,"action adventur western texa hor survivor texasrang partner outlaw escap lawyer train lonerang comanch thelonerang tonto tonto johnreid/thelonerang butchcavendish redharrington danreid goreverbinski the texa ranger chase down a gang of outlaw led by butch cavendish, but the gang ambush the rangers, seemingli kill them all. one survivor is found, however, by an american indian name tonto, who nur him back to health. the ranger, don a mask and ride a white stallion name silver, team up with tonto to bring the unscrupul gang and other of that ilk to justice. en"
14,14,49521,Man of Steel,"action adventur fantasi sciencefict savingtheworld dccomic superhero basedoncomicbook superhuman alieninva reboot superpow dcextendeduniv clarkkent/kal-el loislan generalzod jonathank marthak zacksnyd a young boy learn that he ha extraordinari power and is not of thi earth. as a young man, he journey to discov where he came from and what he wa sent here to do. but the hero in him must emerg if he is to save the world from annihil and becom the symbol of hope for all mankind. en"
15,15,2454,The Chronicles of Narnia: Prince Caspian,"adventur famili fantasi basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld princecaspian peterpevensi susanpevensi edmundpevensi lucypevensi andrewadamson one year after their incr adventur in the lion, the witch and the wardrobe, peter, edmund, luci and susan pevensi return to narnia to aid a young princ whose life ha been threaten by the evil king miraz. now, with the help of a color cast of new characters, includ trufflehunt the badger and nikabrik the dwarf, the pevensi clan embark on an incr quest to ensur that narnia is return to it right heir. en"
16,16,24428,The Avengers,"sciencefict action adventur newyork shield marvelcom superhero basedoncomicbook alieninva superheroteam aftercreditsst duringcreditsst marvelcinematicuniv tonystark/ironman steverogers/captainamerica brucebanner/thehulk thorodinson natasharomanoff/blackwidow josswhedon when an unexpect enemi emerg and threaten global safeti and security, nick fury, director of the intern peacekeep agenc known as s.h.i.e.l.d., find himself in need of a team to pull the world back from the brink of disaster. span the globe, a dare recruit effort begins! en"
17,17,1865,Pirates of the Caribbean: On Stranger Tides,"adventur action fantasi sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditsst 3d captainjacksparrow angelicateach captainedward""blackbeard""teach joshameegibb captainhectorbarbossa robmarsh captain jack sparrow cross path with a woman from hi past, and he' not sure if it' love -- or if she' a ruthless con artist who' use him to find the fabl fountain of youth. when she forc him aboard the queen anne' revenge, the ship of the formid pirat blackbeard, jack find himself on an unexpect adventur in which he doesn't know who to fear more: blackbeard or the woman from hi past. en"
